"","satCleanRoom","satCleanBath","satCleanCommon","satFrontStaff","satDiningStaff","satHouseStaff","satValetStaff","satPerks","satRoomPrice","satDiningPrice","satWifiPrice","satParkingPrice","satCity","satCloseTransp","satCloseEvents","satPoints","satRecognition","satOverall","distanceTraveled","nightsStayed","visitPurpose","avgRoomSpendPerNight","avgFoodSpendPerNight","avgWifiSpendPerNight","eliteStatus"
"27",5,5,3,5,5,4,3,6,4,6,4,7,5,4,3,5,5,5,172,5,"SportsEvent",137,25.63,5.57,"NoStatus"
"28",5,5,4,4,4,4,3,4,4,4,2,5,4,3,3,3,4,3,285,4,"OtherOrMixed",139,17.64,8.725,"Silver"
"29",3,5,3,3,2,4,3,4,2,2,3,4,3,4,4,4,3,2,440,2,"Vacation",149,35.41,3.975,"Silver"
"30",4,5,5,4,3,3,3,4,5,4,5,5,4,5,5,5,2,4,985,4,"Business",149,17.95,4.4625,"Silver"
"31",5,5,4,4,5,7,4,4,5,6,6,4,5,5,5,4,4,4,803,2,"OtherOrMixed",174,20.1,9.975,"Silver"
"32",5,4,3,6,5,3,5,7,5,4,6,6,4,5,4,5,5,6,305,2,"OtherOrMixed",149,48.55,13.95,"Gold"
"33",2,4,5,4,4,5,5,4,2,4,2,3,4,5,7,3,3,4,152,4,"SportsEvent",174,15.92,10.7125,"Gold"
"34",5,4,5,6,4,6,5,3,3,3,3,3,4,6,6,5,3,6,717,8,"SportsEvent",159,25.81,6.4625,"Gold"
"35",4,4,4,4,3,4,5,5,6,2,6,4,2,4,3,4,3,4,1367,6,"Business",154,42.63,10.6333333333333,"Gold"
"36",5,5,4,4,3,3,4,3,4,4,4,5,4,4,4,4,3,3,269,3,"Vacation",145.666666666667,5,5.96666666666667,"NoStatus"
"37",5,5,3,4,4,5,4,5,2,3,2,4,4,2,4,3,3,5,599,5,"Business",151,34.81,7.56,"Silver"
"38",4,4,5,5,3,4,4,5,4,3,3,3,3,4,3,6,6,4,598,2,"Business",159,5,4.975,"Platinum"
"39",3,5,5,2,4,3,2,4,5,5,5,6,3,3,4,4,4,4,141,3,"OtherOrMixed",142.333333333333,37.85,14.2833333333333,"NoStatus"
"40",5,4,3,2,3,3,3,4,4,3,2,3,2,3,3,4,4,3,1347,2,"Concert",134,10,7.475,"NoStatus"
"41",5,5,4,5,3,4,3,6,5,5,5,4,4,4,4,6,6,6,433,4,"Conference",151.5,38.89,4.475,"Gold"
"42",3,4,2,5,4,5,2,5,3,5,6,6,6,5,5,5,6,3,664,1,"OtherOrMixed",149,10,0,"NoStatus"
"43",4,3,4,3,3,4,5,4,3,4,3,4,4,5,3,4,4,4,1086,7,"Business",160.428571428571,22.69,8.97857142857143,"NoStatus"
"44",2,4,4,3,4,4,3,2,3,3,2,3,2,3,3,3,3,4,226,2,"SportsEvent",134,5.2,12.95,"NoStatus"
"45",4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,5,4,310,1,"Business",149,76.31,7.95,"NoStatus"
"46",3,3,3,2,3,7,4,3,3,3,3,3,2,4,4,4,1,1,318,5,"SportsEvent",161,20.23,9.77,"NoStatus"
"47",1,3,4,3,4,3,3,1,3,3,3,4,5,4,4,1,2,4,260,7,"SportsEvent",164.714285714286,9.51,10.9642857142857,"NoStatus"
"48",3,4,2,4,4,4,2,5,6,5,4,4,4,7,3,5,5,3,224,7,"Concert",164.714285714286,24.55,7.84285714285714,"Gold"
"49",5,4,4,3,4,5,4,2,2,4,2,4,4,5,5,1,2,3,669,2,"SportsEvent",144,10,8.975,"NoStatus"
"50",4,5,4,4,3,4,5,2,4,3,5,2,3,4,3,3,2,4,1168,4,"OtherOrMixed",154,52.02,9.475,"NoStatus"
"51",6,5,3,4,6,6,4,4,5,3,5,5,4,3,4,4,3,3,151,2,"SportsEvent",169,0,4.975,"Gold"
"52",3,3,4,2,3,4,1,3,4,3,5,4,3,3,4,4,4,3,714,3,"SportsEvent",162.333333333333,12.38,7.61666666666667,"NoStatus"
"53",5,3,5,3,3,4,5,5,5,4,3,3,2,2,3,4,5,1,1184,1,"SportsEvent",169,10,12.95,"Silver"
"54",4,4,5,3,3,4,4,3,3,3,3,3,3,2,4,3,2,2,1599,6,"Vacation",167.333333333333,55.58,11.4583333333333,"NoStatus"
"55",2,3,3,4,4,4,3,5,3,5,4,5,6,6,6,3,4,4,644,2,"Concert",164,5,8.975,"NoStatus"
"56",7,6,4,5,4,4,4,5,5,3,5,4,4,6,5,4,3,4,1195,1,"SportsEvent",149,10,5,"Gold"
"57",4,4,4,3,2,5,5,5,3,3,6,2,4,3,3,4,4,4,1299,2,"Business",154,5,0,"Gold"
"58",4,4,5,4,4,6,4,4,3,2,3,4,3,5,4,3,3,3,3775,2,"SportsEvent",144,5,0,"NoStatus"
"59",4,5,5,5,4,3,3,5,3,3,5,3,4,4,5,6,5,5,268,4,"Business",149,27.75,8.95,"Silver"
"60",4,3,4,3,4,3,3,4,4,4,4,4,3,4,5,3,4,3,957,2,"Vacation",159,60.58,8.975,"Silver"
"61",5,5,4,5,4,4,5,6,3,3,4,6,5,6,6,5,5,5,255,3,"OtherOrMixed",135.666666666667,5,5.96666666666667,"NoStatus"
"62",2,3,3,1,4,2,5,5,4,3,4,3,3,2,4,3,3,1,436,4,"SportsEvent",174,10,5.7125,"NoStatus"
"63",3,3,3,1,2,4,3,1,3,3,3,2,3,4,3,1,2,1,297,2,"SportsEvent",169,50.52,0,"NoStatus"
"64",3,2,4,3,3,5,4,4,1,3,4,3,4,3,4,4,4,4,530,4,"Concert",149,42.45,5.9625,"NoStatus"
"65",3,3,3,1,2,4,3,4,4,3,3,3,2,3,2,4,4,2,960,6,"Concert",165.666666666667,31.72,7.475,"Silver"
"66",5,6,3,5,5,5,3,6,4,3,6,5,4,5,5,5,6,3,143,4,"OtherOrMixed",151.5,8.51,1.2375,"Silver"
"67",5,4,3,4,5,4,3,4,4,4,3,5,3,2,4,4,5,4,119,6,"SportsEvent",155.666666666667,31.02,4.30833333333333,"NoStatus"
"68",5,5,5,4,4,4,4,5,3,4,3,4,5,6,4,5,5,5,130,5,"Business",137,5,9.17,"Platinum"
"69",4,4,2,4,4,5,5,4,3,5,5,4,4,5,4,4,4,4,533,5,"OtherOrMixed",151,7.18,12.16,"Silver"
"70",2,4,4,3,4,4,4,5,4,3,3,2,3,2,4,4,4,4,349,2,"Vacation",169,14.57,8.975,"Silver"
"71",5,4,4,4,4,5,4,4,2,3,3,5,5,3,5,4,3,4,608,2,"SportsEvent",159,45.97,12.95,"Silver"
"72",4,4,4,5,5,3,1,6,4,7,5,7,6,4,5,5,6,4,572,1,"Conference",149,99.37,0,"Platinum"
"73",2,2,4,2,3,3,1,3,5,1,4,5,3,3,4,4,4,3,1150,2,"Business",174,45.59,8.975,"Gold"
"74",4,4,5,6,4,6,6,5,4,4,4,5,5,5,4,4,5,4,1338,4,"Business",151.5,25.01,6.9625,"Platinum"
"75",3,4,4,4,4,5,3,4,3,3,4,5,4,4,3,4,4,4,397,3,"Vacation",169,0,5.3,"Silver"
"76",5,5,4,3,4,3,2,5,4,5,5,4,3,3,4,6,4,6,309,6,"Conference",147.333333333333,17.09,10.9666666666667,"Platinum"
"77",3,3,4,4,4,5,4,5,3,4,5,5,4,4,3,5,5,4,58,1,"Concert",129,5,9.95,"Silver"
"78",5,4,3,3,4,4,3,5,4,2,5,4,4,4,5,4,3,4,1643,5,"Business",165,27.95,12.75,"Silver"
"79",4,5,5,4,3,7,3,4,4,4,4,5,5,2,5,3,2,3,950,1,"SportsEvent",149,26.83,5,"Gold"
"80",3,3,3,3,3,5,6,3,3,3,4,2,5,4,5,4,2,4,122,8,"SportsEvent",166.5,18.18,5.4625,"Silver"
"81",5,4,4,2,3,2,3,4,4,2,3,3,1,2,3,4,4,3,802,3,"SportsEvent",169,18.98,8.31666666666667,"Silver"
"82",4,4,3,4,4,6,5,4,4,3,4,4,3,3,3,4,5,2,344,2,"Conference",149,45.3,5,"Silver"
"83",4,4,2,2,3,6,5,3,4,2,3,3,3,3,4,3,2,3,1026,4,"SportsEvent",176.5,71.99,8.975,"NoStatus"
"84",5,4,3,4,6,5,4,4,3,5,3,4,4,6,4,3,4,2,209,5,"SportsEvent",139,15,6.59,"Silver"
"85",4,4,4,4,4,4,2,5,4,4,5,4,6,6,6,4,3,4,254,2,"OtherOrMixed",169,5,7.95,"Silver"
"86",5,6,5,5,4,5,4,5,5,4,4,4,6,3,6,5,3,4,695,4,"Conference",161.5,8.67,2.4875,"Silver"
"87",5,4,4,5,4,4,5,4,3,2,3,4,4,4,6,4,3,4,260,2,"Vacation",169,11.93,4.975,"NoStatus"
"88",3,3,3,3,3,2,3,5,4,3,4,5,4,3,3,3,4,3,575,4,"SportsEvent",151.5,12.73,1.9875,"Silver"
"89",5,5,4,5,4,4,4,5,4,1,5,5,5,3,5,5,7,4,871,1,"Business",129,0,0,"Gold"
"90",4,4,3,4,3,4,4,4,5,4,4,4,4,5,4,6,6,3,206,1,"Business",159,10,5,"Platinum"
"91",4,5,4,4,4,3,4,3,3,4,3,5,3,4,4,3,4,4,554,7,"OtherOrMixed",137.571428571429,10.06,8.55,"Silver"
"92",4,4,2,4,4,4,4,5,4,3,4,3,4,5,3,5,2,5,425,2,"Conference",164,5,9.975,"Silver"
"93",3,3,3,2,4,4,2,4,5,3,4,5,3,2,4,3,3,3,817,2,"OtherOrMixed",159,6.83,14.95,"NoStatus"
"94",4,4,3,6,4,4,2,6,4,4,4,5,4,5,5,6,5,5,609,6,"Business",137.333333333333,16.47,7.98333333333333,"Platinum"
"95",3,3,4,5,3,5,3,4,3,4,4,4,4,3,5,4,4,5,130,4,"Business",161.5,31.67,6.4625,"NoStatus"
"96",4,3,3,3,2,5,2,6,5,3,3,5,3,4,3,4,5,3,658,2,"OtherOrMixed",159,0,8.975,"NoStatus"
"97",5,4,5,3,3,4,6,2,3,4,4,3,4,3,4,3,3,5,320,3,"SportsEvent",149,10,10.3,"NoStatus"
"98",5,4,3,3,2,4,3,4,3,3,5,4,2,4,3,3,4,2,1122,6,"Concert",157.333333333333,55.58,7.65,"NoStatus"
"99",4,4,1,3,4,4,5,5,2,3,6,3,3,2,2,5,5,4,395,2,"SportsEvent",169,10,0,"Silver"
"100",4,5,5,4,3,3,4,5,4,4,5,4,3,3,5,4,4,4,332,1,"OtherOrMixed",159,10,5,"NoStatus"
"101",4,4,4,5,4,4,4,4,3,4,3,4,2,3,4,5,5,5,1199,2,"Vacation",134,37.97,3.975,"Silver"
"102",3,5,3,2,4,4,3,4,3,3,3,3,4,5,4,3,4,3,246,2,"SportsEvent",174,27.92,3.975,"NoStatus"
"103",4,5,4,4,3,5,4,5,4,3,3,4,3,2,4,3,4,3,490,4,"Business",146.5,48.41,9.475,"Silver"
"104",4,4,5,4,3,2,3,5,2,3,3,3,5,4,5,4,5,6,1086,6,"Vacation",140.666666666667,5.09,9.64166666666667,"Gold"
"105",4,5,5,4,3,3,4,3,4,5,5,3,5,5,5,3,3,4,896,2,"SportsEvent",174,10,12.95,"NoStatus"
"106",4,4,3,5,4,5,5,5,4,3,4,4,5,4,6,3,4,3,378,6,"SportsEvent",149,0,10.1333333333333,"Silver"
"107",4,3,5,2,4,6,5,5,5,2,5,3,3,2,4,5,3,5,119,2,"Concert",169,13.17,9.975,"Gold"
"108",4,5,4,6,5,4,4,3,5,6,5,6,6,5,4,3,3,6,41,7,"SportsEvent",136.142857142857,38.28,8.69285714285714,"NoStatus"
"109",5,5,4,5,6,4,5,6,4,2,5,4,4,4,4,5,4,5,146,1,"Business",159,5,0,"Silver"
"110",3,3,3,5,4,5,3,4,5,4,5,5,4,5,4,4,4,4,913,5,"Business",165,17.8,12.16,"Gold"
"111",4,4,4,2,4,5,4,3,3,2,4,2,3,3,3,4,3,3,397,1,"Conference",139,57.66,5,"Silver"
"112",4,4,3,3,4,4,3,4,5,3,3,3,2,3,3,5,2,3,74,3,"Concert",189,24.46,9.3,"Gold"
"113",4,5,3,2,2,4,4,3,3,2,4,3,4,3,4,4,3,5,1000,2,"SportsEvent",169,5,4.975,"NoStatus"
"114",4,3,4,3,5,3,3,3,4,4,4,4,3,5,3,4,4,3,186,3,"Business",145.666666666667,5,5,"Silver"
"115",4,5,5,5,5,6,6,3,1,4,5,3,5,5,4,4,3,4,903,3,"OtherOrMixed",135.666666666667,10,5.96666666666667,"NoStatus"
"116",3,4,3,2,3,6,6,4,5,3,5,2,4,3,4,3,4,4,242,1,"SportsEvent",149,113.67,9.95,"Gold"
"117",4,4,3,3,3,5,5,4,4,2,4,3,5,4,5,4,4,3,311,2,"Vacation",174,5,8.975,"Gold"
"118",6,7,5,5,6,4,4,5,6,5,6,6,3,3,4,5,5,3,239,6,"Business",142.333333333333,37.61,0,"Platinum"
"119",3,4,6,4,3,5,4,3,4,5,5,5,5,4,5,3,4,4,298,5,"SportsEvent",151,23.33,5.17,"NoStatus"
"120",4,4,3,4,1,3,4,4,4,3,4,3,5,4,4,4,2,3,1318,2,"Vacation",174,17.41,5,"Silver"
"121",4,4,2,3,4,3,3,4,4,4,2,3,3,2,3,3,3,3,811,5,"Concert",143,73.11,5.17,"NoStatus"
"122",5,4,3,5,3,4,2,5,4,4,4,6,6,7,5,4,5,4,259,2,"Business",139,22.27,13.95,"Platinum"
"123",4,3,5,5,4,5,4,6,2,4,5,5,4,5,4,5,7,5,974,4,"Business",144,5,4.475,"Gold"
"124",3,4,5,2,2,4,2,4,4,1,5,4,3,2,3,3,3,1,1206,2,"Vacation",159,0,3.975,"NoStatus"
"125",4,4,2,2,4,5,3,3,3,3,3,4,3,5,4,4,4,2,146,2,"SportsEvent",169,79.12,7.95,"NoStatus"
"126",4,4,4,3,3,2,2,4,6,3,4,6,3,2,4,4,4,4,305,2,"Conference",169,10,8.975,"Silver"
"127",2,2,3,3,3,6,5,5,3,2,2,2,2,3,4,4,4,3,1167,6,"Vacation",160.666666666667,14.22,2.65,"NoStatus"
"128",5,5,4,4,4,4,4,5,4,2,4,3,4,2,6,5,5,4,831,6,"Business",162.333333333333,10,12.125,"Silver"
"129",5,4,5,4,4,5,4,3,3,4,4,3,3,5,4,4,3,4,127,2,"OtherOrMixed",159,75.06,5,"NoStatus"
"130",2,3,3,3,4,4,5,4,4,3,2,3,4,4,4,3,4,4,324,1,"SportsEvent",199,5,4.95,"NoStatus"
"131",5,6,1,5,5,4,2,5,3,5,6,6,5,5,5,6,4,3,150,7,"Concert",143.285714285714,10,4.11428571428571,"Gold"
"132",4,4,2,3,3,5,5,4,5,3,4,3,4,4,5,5,3,3,846,1,"SportsEvent",149,5,9.95,"NoStatus"
"133",5,4,5,4,3,4,3,5,5,3,4,5,4,5,3,4,5,4,975,4,"Vacation",159,5,11.2125,"Gold"
"134",3,3,5,4,4,3,4,4,4,3,4,3,4,4,5,6,5,4,693,3,"Business",162.333333333333,30.63,10.3,"NoStatus"
"135",3,4,3,4,5,4,3,5,6,3,4,4,3,4,4,3,4,4,136,3,"Vacation",145.666666666667,21.17,14.2833333333333,"Silver"
"136",4,3,3,5,4,3,4,5,4,5,5,5,7,4,5,5,4,4,100,2,"Conference",159,38.79,4.975,"Silver"
"137",5,5,3,5,3,3,2,5,5,4,5,6,5,5,5,6,4,5,737,3,"Conference",149,5,2.65,"Gold"
"138",2,3,3,4,4,6,3,5,4,4,5,5,3,4,5,5,3,4,2125,2,"Business",139,5,7.45,"Platinum"
"139",3,5,3,4,3,5,4,3,2,4,2,4,4,4,4,3,4,2,1101,14,"OtherOrMixed",149.714285714286,44.28,3.12142857142857,"NoStatus"
"140",2,4,3,2,2,5,4,2,4,2,4,3,4,2,4,2,2,4,477,1,"SportsEvent",199,5,0,"Silver"
"141",1,3,3,1,2,4,3,2,2,1,1,2,1,2,3,3,2,3,799,1,"SportsEvent",159,77.26,5,"NoStatus"
"142",4,6,5,5,4,5,4,5,4,4,6,3,5,6,4,5,5,5,1893,1,"SportsEvent",159,5,9.95,"NoStatus"
"143",4,4,4,4,3,4,2,7,4,3,6,6,5,3,5,6,5,4,2078,2,"Business",149,36.8,9.975,"Gold"
"144",2,2,5,4,4,5,4,4,5,4,4,5,3,5,5,4,3,4,1479,6,"Concert",169,34.44,9.14166666666667,"NoStatus"
"145",3,3,3,5,4,4,2,5,4,7,6,5,4,5,5,5,5,4,938,6,"Business",142.333333333333,28.65,11.2916666666667,"Gold"
"146",3,4,3,2,1,4,4,3,3,3,3,2,2,3,2,2,4,4,1546,2,"SportsEvent",159,5,13.95,"NoStatus"
"147",5,5,4,3,3,4,4,3,6,3,3,3,2,3,4,4,4,3,503,11,"Conference",160.818181818182,13.52,10.6045454545455,"NoStatus"
"148",3,4,2,2,5,3,3,5,6,2,3,3,3,1,4,3,4,2,2604,1,"SportsEvent",149,0,5,"NoStatus"
"149",4,5,4,5,5,5,4,4,5,5,4,7,4,6,4,3,3,5,341,8,"SportsEvent",139,16.19,4.21875,"NoStatus"
"150",3,3,5,4,3,4,3,5,1,5,1,5,5,6,5,4,4,5,3463,4,"OtherOrMixed",149,24.21,4.475,"NoStatus"
"151",5,2,4,3,3,4,2,4,3,3,3,4,4,4,5,4,4,3,434,5,"Concert",143,35.01,5.96,"Silver"
"152",6,5,5,4,3,4,6,5,3,4,4,4,5,6,4,3,5,5,234,3,"Conference",159,28.17,12.95,"Silver"
"153",3,4,6,5,3,5,6,5,3,5,3,5,5,4,5,3,4,4,446,3,"SportsEvent",142.333333333333,10,10.3,"Silver"
"154",4,3,4,3,2,4,3,4,4,2,4,3,5,3,4,5,5,3,1838,4,"Concert",171.5,26.36,9.475,"Silver"
"155",5,3,4,2,3,4,4,3,3,4,3,3,3,4,3,3,2,3,1857,5,"Concert",155,24.5,6.16,"Silver"
"156",3,3,3,3,3,5,4,5,3,3,4,5,3,4,4,3,3,4,179,6,"SportsEvent",142.333333333333,16.31,3.80833333333333,"NoStatus"
"157",5,4,3,5,5,5,5,5,4,3,6,4,2,3,4,4,3,5,96,2,"Business",159,10,12.45,"NoStatus"
"158",4,4,3,1,3,4,3,3,3,3,3,3,1,3,2,2,3,3,290,2,"SportsEvent",159,26.33,6.45,"NoStatus"
"159",4,5,5,5,3,4,4,6,3,3,4,4,4,3,6,4,4,4,461,4,"Conference",159,24.03,11.4625,"Gold"
"160",4,3,4,4,3,3,4,5,4,3,6,5,4,4,4,5,6,5,291,1,"Business",139,50.4,9.95,"Platinum"
"161",4,4,6,3,4,5,3,5,4,4,4,5,2,2,3,4,4,2,1050,4,"SportsEvent",146.5,45.8,3.725,"NoStatus"
"162",5,5,4,5,4,5,5,4,4,4,3,4,3,4,4,4,5,6,370,3,"Concert",159,22.85,7.65,"Silver"
"163",5,5,4,3,3,3,2,3,3,4,3,5,3,3,3,4,5,3,91,2,"OtherOrMixed",174,58.18,7.45,"Gold"
"164",4,5,5,4,4,6,4,2,3,4,3,5,3,4,5,3,4,5,266,3,"SportsEvent",142.333333333333,25.6,3.31666666666667,"Silver"
"165",5,5,6,6,6,5,3,6,3,4,5,6,7,5,7,6,6,4,734,3,"Concert",129,14.48,13.6166666666667,"Platinum"
"166",5,6,6,4,4,5,4,4,1,4,3,4,4,4,4,4,4,4,144,2,"Vacation",149,10,3.975,"Silver"
"167",5,4,5,5,4,6,4,5,2,5,3,5,6,4,5,4,5,6,452,2,"Concert",139,11.06,3.975,"Silver"
"168",5,4,5,6,4,4,5,5,5,4,5,4,5,4,6,4,5,5,6422,5,"SportsEvent",155,25.91,5.57,"Silver"
"169",4,4,4,5,5,4,4,6,4,6,6,5,5,5,5,5,7,4,272,5,"Conference",139,52.9,3.58,"Platinum"
"170",5,4,4,5,3,5,5,4,5,3,4,5,4,5,4,3,3,5,492,3,"SportsEvent",135.666666666667,5,9.3,"NoStatus"
"171",5,4,2,3,4,4,3,4,3,4,4,4,3,4,3,4,3,2,325,4,"OtherOrMixed",141.5,29.3,3.975,"Silver"
"172",5,5,5,4,3,7,6,4,4,4,4,4,3,5,5,4,5,4,944,4,"OtherOrMixed",171.5,34.92,2.4875,"NoStatus"
"173",5,4,6,5,5,4,4,5,4,3,5,4,5,5,6,4,4,3,411,11,"OtherOrMixed",158.090909090909,7.78,10.4181818181818,"Gold"
"174",3,5,3,3,3,4,5,3,3,4,6,3,2,3,3,3,4,3,245,3,"Conference",169,15,2.65,"NoStatus"
"175",4,4,5,5,4,4,5,5,4,5,4,4,5,4,5,5,5,5,1133,4,"Business",144,30.76,8.725,"Platinum"
"176",6,6,5,5,3,5,3,5,3,5,2,4,4,2,4,5,4,4,411,4,"SportsEvent",139,19.49,7.95,"Gold"
"177",5,4,3,3,4,4,5,4,6,2,5,2,4,6,5,3,2,2,1023,4,"Vacation",176.5,10,6.2375,"Silver"
"178",5,6,5,5,4,3,4,5,4,5,6,4,6,5,4,6,6,6,181,3,"OtherOrMixed",149,6.33,2.65,"Gold"
"179",4,4,5,7,7,4,4,7,7,5,6,7,6,5,7,7,5,7,1068,4,"Business",136.5,21.78,9.475,"Platinum"
"180",4,4,4,2,3,5,5,3,4,3,4,3,2,1,3,3,4,5,190,7,"SportsEvent",176.142857142857,14.39,4.68571428571429,"NoStatus"
"181",5,6,4,6,5,7,4,5,3,4,5,5,4,5,4,5,4,6,69,2,"OtherOrMixed",164,110.78,8.95,"Gold"
"182",4,4,5,3,3,5,5,4,4,5,4,4,5,5,3,4,4,4,2629,3,"SportsEvent",145.666666666667,5,2.65,"NoStatus"
"183",5,5,4,4,4,4,3,5,3,5,3,4,4,5,4,4,4,2,1683,4,"Conference",149,5,4.475,"Silver"
"184",6,5,4,6,4,4,5,6,2,4,6,3,4,4,6,6,5,5,1168,3,"Business",159,35.97,1.65,"Gold"
"185",4,5,4,3,3,5,3,4,4,3,3,4,3,4,4,5,2,3,635,2,"Business",144,9.82,11.45,"NoStatus"
"186",3,4,4,5,5,6,4,4,5,4,5,5,6,5,5,4,3,5,1292,6,"Vacation",139,19.44,9.30833333333333,"Silver"
"187",5,4,5,4,3,4,4,4,4,4,5,5,4,3,4,4,3,5,3476,2,"SportsEvent",164,5,3.975,"Silver"
"188",5,5,4,5,4,5,5,5,4,2,4,4,4,5,4,4,7,6,256,2,"Conference",169,5,9.975,"Platinum"
"189",3,2,4,3,3,7,2,4,4,4,3,6,4,6,3,3,3,6,212,4,"SportsEvent",154,26.81,9.475,"NoStatus"
"190",4,5,3,5,4,4,3,5,4,6,3,5,7,7,6,5,6,3,126,6,"OtherOrMixed",137.333333333333,28.43,2.65,"Silver"
"191",4,3,3,2,5,4,4,3,5,3,2,3,3,4,4,3,4,1,904,1,"Concert",169,10,0,"NoStatus"
"192",5,4,3,2,2,6,2,3,3,5,2,4,3,3,5,4,2,2,763,3,"SportsEvent",149,50.47,2.65,"NoStatus"
"193",5,4,4,5,3,5,1,4,4,5,5,6,6,3,6,4,4,4,231,2,"Conference",139,10,9.975,"Silver"
"194",5,5,5,6,5,5,5,7,3,4,5,6,5,4,5,6,6,5,460,2,"Business",149,10,9.95,"Silver"
"195",4,4,5,6,6,5,4,6,3,3,4,4,5,6,5,4,4,5,365,1,"Concert",149,5,0,"Gold"
"196",3,5,3,5,4,4,3,6,3,4,5,5,6,4,3,4,3,4,232,4,"Conference",151.5,22.63,5.9625,"Gold"
"197",4,4,4,4,3,3,5,3,2,3,4,3,4,3,3,5,3,2,976,1,"Vacation",129,5,7.95,"NoStatus"
"198",2,4,4,3,2,3,2,4,3,4,4,3,4,2,4,3,4,4,1370,2,"Business",184,35.11,9.975,"NoStatus"
"199",3,4,4,3,3,3,3,4,5,5,5,5,5,4,4,3,2,3,895,2,"Vacation",129,43.7,9.975,"NoStatus"
"200",4,3,4,4,5,5,4,4,5,3,4,4,1,3,4,4,3,3,273,4,"Vacation",156.5,12.17,11.4625,"NoStatus"
"201",5,3,2,4,3,6,3,3,4,2,3,4,4,3,3,3,2,4,644,3,"Vacation",152.333333333333,4.19,6.63333333333333,"NoStatus"
