"","margin","item","price"
"324",0.253,"item398",4.19
"325",0.117,"item399",1.69
"326",4.91,"item4",232.99
"327",5.724,"item40",286.99
"328",2.58,"item400",96.79
"329",4.873,"item401",230.99
"330",7.961,"item402",444.99
"331",106.589,"item403",11679
"332",-0.698,"item404",8.69
"333",5.291,"item405",267.99
"334",-0.592,"item407",3.59
"335",3.228,"item408",136.99
"336",2.622,"item409",102.99
"337",-0.396,"item41",0.79
"338",5.624,"item410",290.99
"339",-0.104,"item411",1.09
"340",-0.809,"item412",17.69
"341",1.696,"item413",56.09
"342",0.337,"item414",6.19
"343",-0.61,"item415",4.29
"344",-0.8,"item416",16.79
"345",-0.673,"item417",7.19
"346",3.017,"item418",124.99
"347",-0.437,"item419",0.19
"348",0.044,"item42",0.59
"349",0.098,"item420",1.39
"350",-0.505,"item421",1.09
"351",2.465,"item422",94.29
"352",18.372,"item423",1359
"353",6.203,"item424",331.99
"354",0.466,"item425",9.49
"355",0.698,"item426",16.39
"356",3.576,"item427",156.99
"357",0.562,"item428",12.19
"358",10.643,"item429",699
"359",-0.696,"item43",8.89
"360",-0.509,"item430",1.19
"361",13.398,"item431",939
"362",2.11,"item432",78.79
"363",32.445,"item433",2869
"364",-0.764,"item434",13.89
"365",4.103,"item435",196.99
"366",0.64,"item436",15.09
"367",24.64,"item437",2039
"368",0.013,"item438",0.19
"369",5.33,"item439",280.99
"370",-0.557,"item44",2.59
"371",3.367,"item440",149.99
"372",-0.022,"item441",0.29
"373",0.47,"item443",9.99
"374",9.541,"item444",609
"375",-0.71,"item445",9.69
"376",-0.51,"item446",1.19
"377",-0.798,"item447",17.09
"378",2.079,"item448",77.19
"379",20.147,"item449",1579
"380",1.267,"item45",38.69
"381",5.864,"item450",318.99
"382",-0.771,"item451",14.49
"383",8.265,"item452",499
"384",0.011,"item453",0.09
"385",1.667,"item454",56.79
"386",4.792,"item455",251.99
"387",3.265,"item456",148.99
"388",11.847,"item457",829
"389",5.219,"item458",282.99
"390",-0.267,"item459",1.69
"391",-0.516,"item46",1.49
"392",2.54,"item460",105.99
"393",-0.766,"item461",14.49
"394",0.531,"item462",12.19
"395",-0.328,"item463",1.49
"396",7.528,"item464",460.99
"397",0.853,"item465",23.19
"398",0.55,"item466",12.69
"399",0.699,"item467",17.59
"400",-0.165,"item468",1.49
"401",-0.143,"item469",1.39
"402",4.26,"item47",214.99
"403",0.187,"item470",3.19
"404",-0.918,"item471",38.89
"405",39.981,"item472",3849
"406",-0.244,"item473",1.69
"407",4.356,"item474",220.99
"408",-0.767,"item475",14.59
"409",1.8,"item476",65.39
"410",1.825,"item477",66.69
"411",2.723,"item478",115.99
"412",4.927,"item479",260.99
"413",3.513,"item48",164.99
"414",8.721,"item480",559
"415",-0.678,"item481",8.29
"416",1.596,"item482",57.19
"417",0.001,"item483",0.19
"418",4.093,"item484",209.99
"419",-0.658,"item485",7.19
"420",13.971,"item486",1069
"421",-0.075,"item487",0.89
"422",6.16,"item488",364.99
"423",2.998,"item489",136.99
"424",-0.815,"item49",20.49
"425",0.466,"item490",10.59
"426",3.716,"item491",183.99
"427",7.497,"item492",473.99
"428",1.887,"item493",72.29
"429",2.571,"item494",110.99
"430",1.14,"item495",35.79
"431",0.429,"item496",9.49
"432",1.217,"item497",39.19
"433",3.736,"item498",185.99
"434",2.66,"item499",115.99
"435",6.681,"item5",406.99
"436",6.793,"item50",415.99
"437",0.44,"item500",9.79
"438",-0.516,"item501",1.49
"439",-0.132,"item502",1.39
"440",8.234,"item503",539
"441",8.753,"item504",579
"442",0.193,"item505",3.49
"443",-0.816,"item506",20.49
"444",12.355,"item507",909
"445",-0.176,"item508",1.69
"446",0.838,"item509",24.19
"447",0.825,"item51",23.59
"448",0.012,"item510",0.19
"449",2.562,"item511",113.99
"450",1.762,"item512",67.89
"451",15.921,"item513",1299
"452",1.43,"item514",50.69
"453",1.766,"item515",68.09
"454",2.439,"item516",106.99
"455",-0.136,"item517",1.49
"456",-0.221,"item518",1.79
"457",4.013,"item519",211.99
"458",-0.449,"item52",0.19
"459",3.33,"item520",163.99
"460",1.669,"item522",62.99
"461",0.488,"item523",11.59
"462",33.649,"item524",3329
"463",-0.964,"item525",62.29
"464",7.653,"item526",499
"465",7.863,"item527",519
"466",0.113,"item528",1.89
"467",3.234,"item529",157.99
"468",-0.49,"item530",0.89
"469",4.827,"item531",271.99
"470",7.385,"item532",479.99
"471",5.711,"item533",340.99
"472",7.151,"item534",459.99
"473",10.521,"item535",759
"474",1.319,"item536",45.29
"475",9.978,"item537",709
"476",0.351,"item538",7.79
"477",-0.679,"item539",8.89
"478",-0.803,"item54",20.19
"479",9.267,"item540",669
"480",9.667,"item541",709
"481",14.531,"item542",1199
"482",2.917,"item543",140.99
"483",4.562,"item544",259.99
"484",2.951,"item545",142.99
"485",-0.74,"item546",13.59
"486",-0.377,"item547",1.19
"487",11.597,"item548",889
"488",0.975,"item549",30.69
"489",3.531,"item55",182.99
"490",3.047,"item550",149.99
"491",3.175,"item551",158.99
"492",22.676,"item552",2099
"493",5.626,"item553",344.99
"494",3.885,"item555",208.99
"495",6.215,"item556",393.99
"496",3.976,"item557",215.99
"497",-0.061,"item558",0.79
"498",5.182,"item559",308.99
"499",1.875,"item56",76.39
"500",-0.752,"item560",14.69
"501",0.51,"item561",12.69
"502",0.904,"item562",27.69
"503",3.593,"item563",187.99
"504",0.299,"item564",6.29
"505",2.48,"item565",112.99
"506",-0.787,"item566",18.29
"507",12.829,"item567",1019
"508",-0.56,"item568",3.09
"509",5.896,"item569",378.99
"510",0.459,"item57",11.39
"511",9.877,"item570",749
"512",-0.303,"item571",1.79
"513",7.954,"item572",559
"514",14.561,"item573",1239
"515",2.391,"item574",109.99
"516",1.212,"item575",42.89
"517",-0.713,"item576",11.69
"518",0.493,"item577",12.49
"519",-0.39,"item578",0.99
"520",2.27,"item579",102.99
"521",0.599,"item58",16.29
"522",1.815,"item580",75.29
"523",2.882,"item581",142.99
"524",-0.618,"item582",5.69
"525",0.94,"item583",30.09
"526",28.941,"item584",2939
"527",0.768,"item586",22.79
"528",1.135,"item587",39.09
"529",0.921,"item588",29.29
"530",4.406,"item589",255.99
"531",250.748,"item59",39009
"532",0.173,"item590",3.29
"533",0.338,"item591",7.59
"534",0.136,"item592",2.49
"535",-0.183,"item593",1.79
"536",-0.363,"item594",1.39
"537",1.168,"item595",40.69
"538",-0.385,"item596",1.09
"539",1.763,"item597",72.29
"540",-0.008,"item598",0.09
"541",0.099,"item599",1.79
"542",-0.805,"item6",21.79
"543",13.524,"item60",1159
"544",2.641,"item600",130.99
"545",0.205,"item601",4.19
"546",-0.742,"item602",14.59
"547",0.388,"item603",9.39
"548",2.966,"item604",152.99
"549",-0.532,"item605",2.19
"550",-0.26,"item606",1.99
"551",0.394,"item607",9.59
"552",2.593,"item608",126.99
"553",-0.442,"item609",0.19
"554",0.401,"item61",9.79
"555",4.852,"item610",299.99
"556",61.004,"item611",7539
"557",2.601,"item612",127.99
"558",13.431,"item613",1149
"559",9.27,"item614",709
"560",2.13,"item615",96.99
"561",-0.872,"item616",33.09
"562",5.301,"item617",337.99
"563",3.22,"item618",171.99
"564",-0.73,"item619",13.59
"565",-0.047,"item62",0.69
"566",-0.17,"item620",1.79
"567",17.555,"item621",1619
"568",6.661,"item622",458.99
"569",-0.239,"item623",1.99
"570",0.998,"item624",33.69
"571",0.142,"item626",2.69
"572",-0.453,"item627",0.19
"573",0.512,"item628",13.59
"574",-0.611,"item629",5.49
"575",-0.581,"item63",4.19
"576",0.118,"item630",2.29
"577",-0.449,"item631",0.19
"578",-0.557,"item632",3.19
"579",7.256,"item633",529
"580",3.991,"item634",236.99
"581",3.745,"item635",216.99
"582",-0.568,"item637",3.59
"583",1.588,"item638",66.29
"584",3.825,"item639",223.99
"585",-0.886,"item64",37.39
"586",1.657,"item640",70.39
"587",-0.713,"item641",12.49
"588",3.242,"item642",177.99
"589",3.969,"item643",234.99
"590",10.881,"item644",899
"591",-0.417,"item645",0.69
"592",0.426,"item646",10.99
"593",2.398,"item647",117.99
"594",36.363,"item648",4129
"595",11.125,"item649",929
"596",0.998,"item65",34.69
"597",-0.898,"item650",40.69
"598",1.22,"item651",45.89
"599",74.351,"item652",9849
"600",-0.378,"item653",1.29
"601",2.595,"item654",130.99
"602",0.692,"item655",20.99
"603",3.616,"item656",206.99
"604",41.784,"item657",4899
"605",0.73,"item658",22.59
"606",2.553,"item659",127.99
"607",5.599,"item66",374.99
"608",0.128,"item660",2.49
"609",8.29,"item661",629
"610",2.502,"item662",127.99
"611",10.977,"item663",939
"612",0.795,"item664",26.09
"613",-0.905,"item665",43.89
"614",5.923,"item667",415.99
"615",0.037,"item668",0.69
"616",10.171,"item669",849
"617",5.078,"item67",337.99
"618",-0.845,"item670",29.59
"619",-0.379,"item671",1.29
"620",2.614,"item672",135.99
"621",10.297,"item673",859
"622",-0.905,"item674",43.89
"623",1.258,"item675",49.29
"624",4.403,"item676",278.99
"625",-0.81,"item677",23.79
"626",-0.298,"item678",1.99
"627",28.092,"item679",3089
"628",4.594,"item68",294.99
"629",0.056,"item680",0.99
"630",8.672,"item681",689
"631",0.061,"item682",1.09
"632",3.089,"item683",171.99
"633",-0.141,"item684",1.69
"634",10.525,"item686",889
"635",-0.774,"item687",19.09
"636",4.713,"item688",305.99
"637",3.223,"item689",181.99
"638",4.987,"item69",329.99
"639",-0.795,"item690",21.69
"640",0.111,"item691",2.19
"641",-0.828,"item692",26.49
"642",15.496,"item693",1459
"643",1.429,"item694",58.89
"644",-0.302,"item695",1.99
"645",4.504,"item696",287.99
"646",2.202,"item697",109.99
"647",2.236,"item698",112.99
"648",-0.674,"item699",9.99
"649",28.195,"item7",3189
"650",-0.355,"item70",1.59
"651",1.43,"item700",60.59
"652",-0.824,"item701",26.69
"653",30.869,"item702",3569
"654",1.577,"item703",69.39
"655",1.703,"item704",77.29
"656",5.136,"item705",352.99
"657",0.631,"item706",19.59
"658",13.345,"item707",1239
"659",0.048,"item708",0.89
"660",-0.752,"item709",16.99
"661",0.209,"item71",4.69
"662",0.721,"item710",23.39
"663",-0.144,"item711",1.79
"664",-0.505,"item712",1.49
"665",-0.251,"item713",2.19
"666",-0.726,"item714",14.29
"667",-0.838,"item715",29.09
"668",0.106,"item716",2.09
"669",-0.07,"item718",0.99
"670",19.82,"item719",2049
"671",1.024,"item72",37.99
"672",-0.282,"item720",2.19
"673",19.503,"item721",2009
"674",-0.59,"item722",4.89
"675",61.876,"item723",8349
"676",15.501,"item724",1499
"677",2.716,"item725",147.99
"678",16.648,"item726",1639
"679",-0.544,"item727",2.89
"680",1.102,"item728",42.09
"681",0.14,"item729",2.89
"682",5.994,"item73",433.99
"683",0.993,"item730",37.39
"684",0.756,"item731",25.69
"685",-0.457,"item732",0.09
"686",0.263,"item733",6.39
"687",-0.411,"item734",0.79
"688",1.978,"item735",97.79
"689",3.337,"item736",201.99
"690",0.49,"item737",14.29
"691",8.656,"item738",729
"692",22.346,"item739",2449
"693",-0.313,"item74",2.09
"694",11.78,"item740",1079
"695",-0.323,"item741",1.99
"696",1.576,"item742",71.19
"697",7.41,"item743",589
"698",0.916,"item744",33.49
"699",-0.422,"item745",0.59
"700",-0.417,"item746",0.69
"701",-0.181,"item747",2.09
"702",-0.709,"item748",13.09
"703",0.806,"item749",28.09
"704",0.083,"item75",1.59
"705",0.455,"item750",12.99
"706",0.569,"item751",17.49
"707",4.75,"item753",325.99
"708",-0.851,"item754",32.49
"709",2.164,"item755",110.99
"710",-0.728,"item756",14.99
"711",17.224,"item757",1759
"712",-0.084,"item758",1.29
"713",0.417,"item759",11.59
"714",2.628,"item76",144.99
"715",0.556,"item761",16.89
"716",8.448,"item762",699
"717",0.569,"item763",17.49
"718",-0.409,"item764",0.89
"719",18.381,"item765",1909
"720",1.549,"item766",69.49
"721",0.891,"item767",33.09
"722",9.613,"item768",849
"723",2.65,"item769",150.99
"724",5.172,"item77",374.99
"725",0.883,"item770",32.69
"726",0.821,"item771",29.49
"727",-0.419,"item772",0.69
"728",4.343,"item773",295.99
"729",3.945,"item774",259.99
"730",1.201,"item775",49.99
"731",1.232,"item776",51.89
"732",12.478,"item777",1199
"733",2.466,"item778",135.99
"734",5.716,"item779",428.99
"735",-0.246,"item78",2.29
"736",-0.763,"item780",19.19
"737",1.041,"item781",40.99
"738",3.741,"item782",241.99
"739",-0.489,"item783",1.09
"740",4.558,"item784",316.99
"741",0.749,"item786",25.99
"742",0.857,"item787",31.29
"743",44.729,"item788",5929
"744",-0.261,"item789",2.29
"745",10.938,"item79",1009
"746",-0.362,"item790",1.59
"747",0.208,"item791",4.89
"748",1.725,"item792",82.89
"749",-0.687,"item793",11.59
"750",1.289,"item794",55.19
"751",-0.159,"item795",1.99
"752",5.728,"item796",430.99
"753",1.212,"item797",50.69
"754",-0.819,"item798",27.29
"755",0.51,"item799",15.49
"756",2.13,"item8",110.99
"757",10.198,"item80",919
"758",22.075,"item800",2479
"759",0.241,"item801",5.89
"760",2.426,"item802",136.99
"761",-0.52,"item803",2.09
"762",8.492,"item804",739
"763",0.933,"item805",36.09
"764",3.642,"item806",238.99
"765",-0.468,"item807",0.39
"766",1.435,"item808",65.79
"767",9.587,"item809",869
"768",1.746,"item81",86.49
"769",1.465,"item810",67.69
"770",-0.069,"item811",1.09
"771",0.21,"item812",5.09
"772",0.353,"item813",9.79
"773",2.048,"item814",107.99
"774",0.05,"item815",0.99
"775",-0.163,"item816",2.09
"776",8.828,"item817",779
"777",2.064,"item818",108.99
"778",11.066,"item819",1049
"779",0.144,"item82",3.29
"780",0.952,"item820",37.19
"781",1.061,"item821",43.19
"782",0.255,"item822",6.49
"783",-0.495,"item823",1.29
"784",-0.047,"item824",0.79
"785",-0.511,"item825",1.79
"786",4.298,"item826",299.99
"787",8.473,"item827",739
"788",-0.595,"item828",5.59
"789",-0.959,"item829",76.29
"790",0.045,"item83",0.89
"791",0.728,"item830",25.69
"792",-0.73,"item831",15.89
"793",-0.346,"item832",1.89
"794",0.749,"item834",26.69
"795",3.91,"item835",263.99
"796",-0.495,"item836",1.29
"797",1.519,"item837",71.19
"798",5.003,"item838",367.99
"799",19.614,"item839",2189
"800",-0.861,"item84",37.29
"801",77.027,"item840",12039
"802",5.311,"item841",408.99
"803",-0.584,"item842",5.09
"804",-0.234,"item843",2.49
"805",2.09,"item844",113.99
"806",-0.293,"item845",2.29
"807",16.534,"item846",1809
"808",89.127,"item847",14339
"809",-0.374,"item848",1.49
"810",-0.285,"item849",2.39
"811",-0.921,"item85",56.19
"812",0.078,"item850",1.69
"813",-0.494,"item851",1.29
"814",4.939,"item852",370.99
"815",-0.89,"item853",45.09
"816",6.492,"item854",529
"817",-0.665,"item86",10.29
"818",-0.345,"item87",1.89
"819",0.013,"item88",0.29
"820",1.617,"item89",79.69
"821",2.304,"item9",129.99
"822",-0.438,"item90",0.29
"823",-0.321,"item91",2.19
"824",1.958,"item92",103.99
"825",6.186,"item93",499
"826",0.876,"item94",33.99
"827",0.722,"item95",25.99
"828",7.999,"item96",709
"829",20.41,"item97",2359
"830",-0.621,"item98",7.29
