"","Adaptable","BestValue","CuttingEdge","Delightful","Exciting","Friendly","Generous","Helpful","Intuitive","Brand"
"81",3,3,7,4,3,4,3,5,4,"Sierra"
"82",5,4,2,3,3,5,2,5,4,"Papa"
"83",5,4,4,3,4,6,2,4,4,"Papa"
"84",5,4,6,4,5,7,4,6,7,"Papa"
"85",1,2,5,5,5,5,3,3,3,"Romeo"
"86",5,3,4,4,3,6,4,4,4,"Papa"
"87",4,4,4,3,5,4,4,3,4,"Sierra"
"88",4,3,4,4,5,4,3,5,5,"Sierra"
"89",3,3,3,3,5,6,4,7,5,"Papa"
"90",4,4,5,6,5,4,4,4,4,"Sierra"
"91",4,4,2,4,3,4,4,5,4,"Papa"
"92",4,2,5,3,4,5,3,4,5,"Papa"
"93",5,5,4,4,4,4,4,5,4,"Romeo"
"94",5,3,5,4,4,4,4,3,3,"Romeo"
"95",5,2,5,3,5,3,5,2,3,"Tango"
"96",5,5,4,4,5,4,5,3,4,"Sierra"
"97",3,4,5,5,4,4,4,4,4,"Tango"
"98",5,5,3,3,4,5,4,5,5,"Romeo"
"99",3,4,5,6,5,5,4,3,4,"Sierra"
"100",5,6,6,4,3,4,3,4,3,"Sierra"
"101",4,4,3,4,3,4,3,3,3,"Sierra"
"102",5,3,4,4,3,4,4,5,4,"Sierra"
"103",3,5,7,5,4,4,3,3,3,"Romeo"
"104",5,4,3,4,4,4,4,4,5,"Romeo"
"105",5,4,5,5,4,5,4,4,4,"Romeo"
"106",4,2,4,3,5,4,3,4,3,"Papa"
"107",4,2,4,3,5,5,4,3,5,"Papa"
"108",2,2,5,3,5,5,4,5,5,"Romeo"
"109",4,3,3,4,3,5,3,4,4,"Papa"
"110",5,3,2,4,4,5,4,4,3,"Papa"
"111",5,4,3,4,2,5,3,4,4,"Papa"
"112",6,6,5,4,4,5,3,4,5,"Romeo"
"113",3,4,4,3,4,4,4,3,3,"Romeo"
"114",4,4,4,3,5,5,5,5,6,"Romeo"
"115",4,4,5,5,4,5,3,4,4,"Romeo"
"116",3,4,4,4,3,3,5,4,4,"Papa"
"117",4,5,5,3,3,3,6,3,2,"Tango"
"118",4,4,4,4,4,5,5,4,4,"Tango"
"119",2,2,4,3,4,3,3,3,2,"Sierra"
"120",3,3,4,4,5,3,3,4,2,"Sierra"
"121",4,3,4,5,4,4,5,3,3,"Sierra"
"122",5,5,4,4,5,5,4,5,4,"Tango"
"123",4,4,3,5,3,4,4,4,4,"Romeo"
"124",5,6,4,3,4,4,4,5,2,"Sierra"
"125",5,4,5,6,6,5,5,3,2,"Romeo"
"126",2,4,3,3,2,3,4,3,3,"Romeo"
"127",5,3,4,5,4,5,5,5,4,"Romeo"
"128",4,3,3,4,3,6,4,3,4,"Romeo"
"129",4,3,3,6,5,3,3,3,3,"Tango"
"130",3,3,3,3,2,4,3,4,4,"Romeo"
"131",4,3,4,4,3,5,3,3,4,"Papa"
"132",4,5,4,4,3,3,5,4,2,"Sierra"
"133",5,4,4,3,1,4,4,3,3,"Romeo"
"134",4,3,4,3,4,6,4,5,4,"Romeo"
"135",5,5,2,3,2,6,3,4,5,"Sierra"
"136",5,5,3,4,3,2,4,3,4,"Sierra"
"137",4,4,4,4,3,5,3,4,5,"Papa"
"138",4,3,4,4,3,5,5,4,4,"Romeo"
"139",5,4,4,3,5,4,5,3,4,"Romeo"
"140",4,2,5,5,4,4,5,3,4,"Tango"
"141",6,6,3,2,3,7,4,6,5,"Papa"
"142",5,5,5,5,4,5,4,4,4,"Sierra"
"143",5,4,5,6,5,3,3,4,4,"Tango"
"144",5,4,5,3,4,4,5,4,3,"Tango"
"145",4,5,4,4,3,5,4,4,5,"Papa"
"146",4,3,6,4,5,3,4,4,4,"Sierra"
"147",4,5,4,5,3,5,3,5,4,"Sierra"
"148",4,3,4,5,4,6,4,4,5,"Romeo"
"149",4,4,4,3,3,4,3,5,4,"Romeo"
"150",3,3,4,4,4,2,4,4,2,"Tango"
"151",4,3,5,5,4,4,4,4,4,"Romeo"
"152",4,5,5,4,4,4,5,4,4,"Romeo"
"153",3,3,3,4,4,4,4,3,4,"Sierra"
"154",4,4,6,4,6,3,4,3,3,"Tango"
"155",4,4,4,3,3,4,4,3,3,"Romeo"
"156",5,3,4,3,3,3,4,4,3,"Sierra"
"157",3,4,5,4,7,4,5,6,5,"Romeo"
"158",4,4,3,3,4,4,4,4,4,"Papa"
"159",6,3,3,4,2,4,4,3,4,"Sierra"
"160",4,4,4,4,4,3,4,4,4,"Sierra"
"161",5,4,4,4,4,4,5,4,4,"Sierra"
"162",4,4,3,3,2,4,3,5,4,"Romeo"
"163",4,4,3,6,4,5,5,4,2,"Sierra"
"164",5,4,4,4,4,5,3,3,4,"Romeo"
"165",3,4,4,5,5,4,4,1,3,"Tango"
"166",4,1,4,5,4,6,3,4,4,"Romeo"
"167",4,2,5,6,5,6,4,5,6,"Romeo"
"168",6,4,2,3,3,6,2,4,5,"Papa"
"169",4,3,3,3,6,4,2,6,3,"Papa"
"170",4,4,4,2,3,5,3,4,3,"Sierra"
"171",4,4,5,5,5,3,5,5,4,"Sierra"
"172",6,5,2,5,3,6,4,5,5,"Papa"
"173",6,4,2,4,3,4,4,3,4,"Papa"
"174",4,3,4,3,4,4,4,1,2,"Sierra"
"175",4,4,3,3,4,5,4,3,3,"Romeo"
"176",5,4,4,6,4,7,4,4,4,"Sierra"
"177",5,4,3,6,4,5,4,5,4,"Romeo"
"178",3,4,4,3,5,2,2,2,3,"Romeo"
"179",4,5,5,5,4,5,3,5,4,"Romeo"
"180",3,3,7,6,5,2,6,1,2,"Sierra"
"181",2,3,5,3,4,5,5,3,3,"Sierra"
"182",3,4,5,3,3,3,3,2,3,"Romeo"
"183",3,2,5,5,4,3,5,3,3,"Tango"
"184",1,3,3,3,3,3,4,5,4,"Papa"
"185",2,2,4,3,4,4,2,4,3,"Romeo"
"186",4,4,4,3,4,5,4,4,3,"Tango"
"187",2,3,4,3,4,4,5,4,3,"Romeo"
"188",4,3,3,3,2,5,3,3,3,"Romeo"
"189",4,3,3,4,5,4,4,5,3,"Romeo"
"190",3,4,4,2,3,4,4,4,4,"Sierra"
"191",3,5,4,4,5,2,5,3,1,"Sierra"
"192",4,3,5,6,5,4,4,5,3,"Sierra"
"193",5,3,5,4,4,5,4,6,3,"Sierra"
"194",4,4,7,4,5,5,4,5,4,"Sierra"
"195",4,3,5,4,3,5,4,5,4,"Papa"
"196",4,4,3,4,4,3,2,4,3,"Sierra"
"197",5,4,5,4,5,5,3,4,5,"Romeo"
"198",5,5,3,4,4,4,4,4,5,"Papa"
"199",5,5,6,4,3,4,3,6,4,"Romeo"
"200",4,2,4,2,4,4,4,4,2,"Romeo"
"201",4,4,4,5,3,6,4,6,6,"Papa"
"202",4,3,3,3,3,4,5,4,3,"Papa"
"203",3,2,4,4,4,4,3,4,4,"Papa"
"204",4,5,4,5,4,5,4,4,3,"Romeo"
"205",5,5,4,5,5,4,4,3,4,"Tango"
"206",3,2,6,4,5,4,5,4,3,"Sierra"
"207",5,4,3,3,4,6,4,4,4,"Romeo"
"208",3,3,4,3,4,3,3,4,3,"Romeo"
"209",3,3,5,6,5,5,6,4,3,"Sierra"
"210",4,4,4,5,4,3,4,2,3,"Sierra"
"211",4,5,5,5,4,5,5,3,4,"Sierra"
"212",4,5,4,4,3,4,4,4,5,"Romeo"
"213",5,4,5,5,4,6,5,3,4,"Sierra"
"214",5,4,3,4,4,4,5,4,4,"Romeo"
"215",6,4,5,6,6,6,5,5,4,"Romeo"
"216",4,4,4,2,3,4,4,5,3,"Papa"
"217",4,2,3,3,4,5,4,5,4,"Romeo"
"218",6,5,4,3,4,4,5,3,5,"Papa"
"219",4,4,5,4,4,3,3,3,4,"Sierra"
"220",3,3,4,5,3,4,4,2,3,"Sierra"
"221",4,4,3,4,5,5,4,4,4,"Romeo"
"222",4,4,3,3,2,4,4,3,3,"Romeo"
"223",3,4,3,4,4,3,3,4,4,"Romeo"
"224",4,6,5,4,5,5,3,3,4,"Sierra"
"225",5,5,5,3,3,4,4,4,5,"Romeo"
"226",5,4,5,3,4,5,4,4,5,"Sierra"
"227",5,3,5,4,4,5,3,2,4,"Romeo"
"228",6,4,6,6,5,4,4,3,5,"Sierra"
"229",4,4,6,5,3,5,3,4,3,"Romeo"
"230",3,5,4,4,5,3,5,4,4,"Sierra"
"231",3,5,3,4,4,3,4,5,3,"Romeo"
"232",3,3,3,4,2,3,3,4,3,"Papa"
"233",6,4,3,4,3,3,5,5,5,"Romeo"
"234",5,4,5,3,4,4,4,2,3,"Sierra"
"235",5,5,5,5,5,5,5,5,4,"Sierra"
"236",4,4,5,4,5,4,4,3,3,"Sierra"
"237",4,5,5,5,4,4,5,3,3,"Tango"
"238",5,4,4,5,3,6,4,5,5,"Papa"
"239",5,1,4,4,4,5,5,4,5,"Romeo"
"240",5,4,5,7,5,4,4,4,4,"Sierra"
"241",4,4,4,4,4,4,4,4,2,"Sierra"
"242",2,3,5,5,3,3,5,1,1,"Romeo"
"243",5,5,4,4,5,4,4,5,4,"Sierra"
"244",3,5,3,5,2,2,3,3,2,"Sierra"
"245",4,1,3,3,2,4,6,3,3,"Sierra"
"246",3,3,5,5,5,5,4,4,3,"Sierra"
"247",4,3,3,4,3,5,1,5,3,"Romeo"
"248",5,4,4,3,4,5,4,5,4,"Romeo"
"249",5,4,4,2,3,6,3,5,5,"Romeo"
"250",4,5,4,4,5,4,5,3,3,"Sierra"
"251",5,3,2,4,3,3,3,4,4,"Papa"
"252",4,4,2,1,1,4,2,4,3,"Papa"
"253",4,4,5,4,4,4,5,3,4,"Tango"
"254",5,5,4,4,4,3,3,3,4,"Sierra"
"255",4,4,4,3,2,4,5,3,2,"Papa"
"256",5,3,4,3,3,2,3,4,4,"Sierra"
"257",3,1,4,4,3,4,3,3,4,"Tango"
"258",3,4,4,5,4,6,4,5,4,"Sierra"
"259",5,4,5,4,3,5,4,4,5,"Sierra"
"260",4,5,3,4,4,4,3,3,4,"Romeo"
"261",4,2,5,3,4,4,4,6,4,"Papa"
"262",3,4,2,3,2,3,3,3,2,"Romeo"
"263",4,3,3,4,5,4,4,4,3,"Sierra"
"264",5,4,4,3,4,4,3,5,3,"Romeo"
"265",3,3,5,5,3,6,4,4,3,"Sierra"
"266",4,2,4,4,4,3,4,3,3,"Sierra"
"267",2,4,5,5,7,5,4,5,3,"Sierra"
"268",4,4,4,5,4,4,2,2,4,"Tango"
"269",4,4,5,4,4,4,4,3,3,"Sierra"
"270",3,3,4,4,5,3,4,4,4,"Sierra"
"271",6,3,5,6,4,5,5,5,5,"Romeo"
"272",4,4,5,4,4,5,4,4,4,"Romeo"
"273",4,5,2,4,4,4,4,3,2,"Romeo"
"274",5,4,4,6,5,4,4,3,3,"Sierra"
"275",3,4,2,3,3,4,3,4,5,"Romeo"
"276",5,4,3,4,4,5,4,5,4,"Papa"
"277",3,3,4,2,4,4,4,4,3,"Sierra"
"278",3,3,3,2,5,5,4,5,4,"Papa"
"279",4,3,4,2,5,5,3,5,4,"Tango"
"280",5,4,3,4,3,5,5,5,5,"Papa"
"281",4,3,5,3,4,6,3,4,5,"Papa"
"282",2,2,4,3,1,3,4,3,5,"Papa"
"283",2,3,7,4,4,4,4,4,4,"Tango"
"284",4,5,4,3,4,4,6,2,3,"Tango"
"285",6,4,3,5,4,4,3,5,4,"Romeo"
"286",6,4,6,6,5,6,5,5,7,"Romeo"
"287",4,4,3,3,3,6,4,4,5,"Papa"
"288",4,4,4,5,4,5,4,4,5,"Sierra"
"289",4,3,5,5,4,3,6,4,4,"Romeo"
"290",5,4,4,3,2,5,3,4,3,"Sierra"
"291",5,3,2,2,4,4,3,4,3,"Sierra"
"292",4,4,3,5,3,4,4,6,4,"Papa"
"293",4,4,4,4,3,3,3,4,2,"Sierra"
"294",5,6,5,5,5,5,4,5,3,"Tango"
"295",5,5,4,4,4,6,2,4,6,"Romeo"
"296",6,5,5,7,4,6,5,6,7,"Sierra"
"297",5,3,5,4,5,4,4,2,4,"Romeo"
"298",4,2,5,5,4,5,4,4,4,"Romeo"
"299",3,4,4,4,4,4,5,5,4,"Romeo"
"300",4,4,4,4,3,2,6,3,1,"Tango"
"301",4,5,5,3,5,4,4,2,4,"Romeo"
"302",3,4,5,3,2,3,5,5,2,"Romeo"
"303",4,4,4,5,2,4,5,3,4,"Romeo"
"304",4,5,5,5,6,5,3,5,3,"Sierra"
"305",4,4,4,4,4,4,5,4,4,"Sierra"
"306",4,3,5,4,3,5,3,4,4,"Romeo"
"307",5,2,3,3,4,5,3,5,4,"Papa"
"308",5,5,4,4,4,2,5,4,2,"Sierra"
"309",6,4,5,5,4,4,3,4,3,"Sierra"
"310",4,3,5,4,2,5,3,4,3,"Romeo"
"311",4,4,4,3,1,6,3,5,4,"Romeo"
"312",4,4,4,4,3,4,5,3,4,"Sierra"
"313",5,4,4,3,3,4,3,5,4,"Sierra"
"314",6,6,4,3,3,5,4,5,4,"Sierra"
"315",3,5,4,4,5,4,4,4,3,"Sierra"
"316",4,3,4,3,4,3,3,5,5,"Romeo"
"317",5,5,4,4,4,2,4,2,3,"Romeo"
"318",6,3,6,3,3,7,3,5,5,"Papa"
"319",5,6,5,4,4,5,4,5,3,"Sierra"
"320",5,4,3,3,5,5,3,4,3,"Papa"
"321",3,3,2,4,4,4,4,4,3,"Romeo"
"322",6,4,5,5,4,5,5,5,4,"Romeo"
"323",5,4,4,4,4,3,4,3,3,"Tango"
"324",5,5,3,3,5,3,4,4,3,"Romeo"
"325",4,5,4,3,3,5,4,4,3,"Romeo"
"326",4,1,4,3,3,4,4,4,3,"Papa"
"327",4,4,5,4,4,3,3,3,4,"Romeo"
"328",5,3,4,3,4,4,5,3,4,"Sierra"
"329",3,3,4,3,3,4,3,5,3,"Sierra"
"330",3,2,4,4,5,6,5,5,5,"Romeo"
"331",5,4,5,3,4,3,4,4,4,"Romeo"
"332",4,4,2,2,3,5,3,3,3,"Papa"
"333",5,5,4,4,3,4,3,5,4,"Romeo"
"334",6,5,2,4,4,5,4,5,4,"Papa"
"335",3,4,6,5,5,3,4,3,3,"Sierra"
"336",4,5,2,4,4,4,4,4,4,"Papa"
"337",3,3,6,4,3,2,5,3,3,"Sierra"
"338",3,4,3,2,1,3,5,5,5,"Papa"
"339",5,4,4,4,5,5,4,4,4,"Tango"
"340",4,5,4,2,4,4,3,4,4,"Romeo"
"341",5,5,1,3,4,4,3,2,4,"Sierra"
"342",4,3,3,3,4,4,3,4,5,"Papa"
"343",4,4,5,5,6,4,4,4,4,"Sierra"
"344",5,4,3,3,5,3,4,4,4,"Romeo"
"345",6,4,4,3,4,6,4,5,4,"Romeo"
"346",4,3,5,3,3,5,4,4,4,"Sierra"
"347",4,5,5,4,4,5,4,2,3,"Tango"
"348",4,5,3,3,3,4,2,3,5,"Papa"
"349",3,4,5,2,4,4,4,5,3,"Sierra"
"350",4,5,4,5,4,3,5,3,3,"Tango"
"351",4,3,3,4,4,5,3,7,5,"Papa"
"352",4,4,3,3,4,5,4,6,5,"Papa"
"353",5,4,3,4,4,4,4,5,2,"Romeo"
"354",6,6,4,4,5,5,5,6,5,"Romeo"
"355",5,5,5,3,4,4,3,4,2,"Sierra"
"356",3,2,3,4,3,4,2,5,4,"Sierra"
"357",5,4,4,4,4,5,3,4,4,"Romeo"
"358",5,3,3,4,4,5,2,5,5,"Romeo"
"359",5,4,4,4,5,5,4,4,4,"Romeo"
"360",4,4,6,4,4,4,4,3,4,"Romeo"
"361",6,3,4,5,3,6,3,5,5,"Papa"
"362",7,4,4,4,3,4,3,5,4,"Sierra"
"363",4,4,5,4,3,5,3,3,4,"Romeo"
"364",4,3,3,5,5,4,3,3,4,"Romeo"
"365",4,5,3,4,3,4,4,4,4,"Romeo"
"366",5,4,4,5,5,2,4,3,4,"Sierra"
"367",4,5,6,4,4,4,5,4,4,"Romeo"
"368",5,4,4,4,4,2,5,3,2,"Tango"
"369",3,3,4,3,4,3,3,3,3,"Papa"
"370",4,4,4,2,4,4,3,4,3,"Romeo"
"371",5,4,4,4,5,4,3,2,3,"Sierra"
"372",5,4,5,4,4,5,4,5,6,"Romeo"
"373",4,6,2,3,2,4,4,4,5,"Papa"
"374",5,4,3,3,4,5,3,3,4,"Papa"
"375",4,5,5,4,4,3,6,4,2,"Sierra"
"376",4,4,5,5,5,3,5,4,2,"Romeo"
"377",4,5,4,5,4,4,3,5,4,"Papa"
"378",4,3,4,4,4,5,5,5,3,"Sierra"
"379",4,4,4,4,3,3,5,2,3,"Sierra"
"380",4,4,4,5,3,4,5,4,4,"Papa"
"381",4,5,4,3,4,5,4,4,5,"Tango"
"382",4,3,4,3,4,5,5,5,4,"Papa"
"383",5,4,5,5,2,5,4,4,4,"Romeo"
"384",4,3,3,5,4,4,5,2,3,"Sierra"
"385",4,3,2,2,2,4,4,2,5,"Papa"
"386",4,4,4,4,6,2,4,3,4,"Romeo"
"387",4,4,4,4,4,5,4,2,4,"Tango"
"388",6,6,3,3,4,5,4,5,3,"Romeo"
"389",4,5,5,4,4,4,5,5,4,"Sierra"
"390",6,4,6,4,3,4,4,3,3,"Sierra"
"391",2,5,4,4,4,4,5,4,3,"Sierra"
"392",3,4,4,6,6,4,5,3,4,"Romeo"
"393",6,5,3,1,2,4,3,5,4,"Papa"
"394",4,4,4,3,4,5,5,4,4,"Tango"
"395",4,5,3,3,3,4,5,3,4,"Romeo"
"396",5,4,3,2,4,2,3,2,3,"Romeo"
"397",3,4,6,5,4,2,5,2,1,"Tango"
"398",4,3,2,4,4,5,3,3,4,"Romeo"
"399",5,4,4,4,5,5,3,4,2,"Romeo"
"400",6,3,5,4,4,4,4,3,3,"Sierra"
"401",4,5,4,5,4,4,4,6,4,"Romeo"
"402",2,3,5,4,3,3,4,4,3,"Tango"
"403",5,4,5,4,5,6,5,5,4,"Sierra"
"404",4,5,4,4,3,6,4,4,4,"Romeo"
"405",6,3,7,5,5,4,4,5,5,"Sierra"
"406",3,3,4,5,4,4,6,3,2,"Sierra"
"407",3,3,5,5,4,3,5,4,3,"Papa"
"408",3,3,6,5,3,4,4,4,3,"Sierra"
"409",4,3,4,5,4,2,2,2,2,"Sierra"
"410",5,4,4,4,5,5,4,3,4,"Sierra"
"411",5,4,4,4,5,4,6,3,5,"Sierra"
"412",6,6,2,3,3,3,2,4,4,"Papa"
"413",5,5,3,4,3,4,3,4,3,"Romeo"
"414",5,5,4,3,3,3,4,2,2,"Romeo"
"415",5,4,5,5,4,3,4,4,3,"Tango"
"416",4,4,5,6,3,5,5,3,3,"Romeo"
"417",5,4,3,1,4,5,2,5,5,"Papa"
"418",4,4,3,3,4,2,1,1,3,"Sierra"
"419",5,4,4,3,3,5,3,5,4,"Romeo"
"420",3,3,5,4,5,3,4,3,2,"Sierra"
"421",4,4,4,3,3,4,5,3,5,"Sierra"
"422",5,4,5,5,3,3,4,4,3,"Sierra"
"423",4,3,5,4,4,6,4,6,4,"Romeo"
"424",4,5,4,4,4,4,4,3,4,"Tango"
"425",5,4,4,5,4,4,4,3,3,"Sierra"
"426",5,6,6,4,4,5,4,5,3,"Sierra"
"427",3,4,4,5,5,4,4,2,2,"Sierra"
"428",6,7,5,5,4,4,5,4,3,"Sierra"
"429",4,4,4,4,6,5,4,4,4,"Sierra"
"430",4,5,5,5,4,5,4,3,4,"Romeo"
"431",5,4,4,5,5,3,5,3,3,"Romeo"
"432",6,4,4,4,4,5,3,5,4,"Romeo"
"433",4,4,4,5,5,4,5,3,4,"Romeo"
"434",4,4,3,3,4,5,4,5,3,"Romeo"
"435",5,5,4,5,3,5,5,5,5,"Romeo"
"436",4,3,4,4,4,5,3,4,4,"Romeo"
"437",2,4,4,3,3,5,4,5,3,"Romeo"
"438",3,3,4,4,3,4,4,3,2,"Sierra"
"439",5,3,5,5,6,4,4,6,5,"Romeo"
"440",6,6,4,4,4,5,6,5,4,"Romeo"
"441",4,5,4,3,4,3,4,4,3,"Sierra"
"442",5,4,4,5,4,2,3,4,4,"Tango"
"443",5,3,4,5,4,4,4,3,4,"Romeo"
"444",5,4,3,2,4,4,3,4,4,"Romeo"
"445",3,5,5,4,4,4,4,4,3,"Tango"
"446",3,3,3,3,3,6,3,4,3,"Papa"
"447",4,4,4,4,5,4,4,4,4,"Papa"
"448",3,3,4,4,4,5,4,4,4,"Romeo"
"449",3,3,4,4,2,3,4,5,2,"Papa"
"450",3,2,4,5,3,4,4,3,5,"Romeo"
"451",5,4,4,4,4,5,3,5,5,"Sierra"
"452",5,5,6,3,4,5,5,6,6,"Papa"
"453",1,2,4,4,4,4,3,3,3,"Sierra"
"454",4,3,5,3,4,3,4,1,2,"Sierra"
"455",4,4,4,5,5,5,4,4,4,"Papa"
"456",4,4,4,3,3,4,4,6,4,"Sierra"
"457",2,5,4,3,3,2,3,2,2,"Sierra"
"458",5,3,4,3,4,2,3,3,4,"Romeo"
"459",4,5,4,4,4,3,4,4,4,"Romeo"
"460",5,4,5,4,4,6,3,3,7,"Romeo"
"461",5,4,5,5,4,4,4,1,4,"Sierra"
"462",4,3,3,4,5,2,3,5,4,"Sierra"
"463",4,2,4,4,4,5,5,4,4,"Romeo"
"464",4,4,3,4,2,3,3,3,3,"Romeo"
"465",4,4,6,4,4,3,4,3,2,"Tango"
"466",7,7,4,4,3,4,6,4,3,"Sierra"
"467",4,4,4,4,4,2,5,4,3,"Sierra"
"468",3,3,5,4,6,4,4,4,3,"Sierra"
"469",6,4,3,2,1,6,3,5,5,"Papa"
"470",5,3,3,5,4,4,5,4,4,"Sierra"
"471",5,2,4,5,5,5,5,4,4,"Romeo"
"472",5,5,5,5,5,4,5,4,4,"Romeo"
"473",6,6,6,5,6,5,4,2,4,"Sierra"
"474",4,5,5,5,5,6,5,4,5,"Sierra"
"475",5,4,3,5,3,5,5,5,3,"Romeo"
"476",5,5,3,6,3,7,5,2,6,"Romeo"
"477",6,6,4,4,3,5,4,6,3,"Romeo"
"478",4,2,4,5,4,3,3,1,3,"Papa"
"479",5,4,4,4,4,5,5,5,6,"Papa"
"480",4,4,3,4,5,4,5,5,2,"Papa"
"481",5,4,5,4,6,4,5,3,4,"Papa"
"482",3,2,4,4,4,5,5,5,5,"Sierra"
"483",4,6,2,3,3,2,3,2,1,"Sierra"
"484",4,5,3,4,4,4,4,4,4,"Sierra"
"485",3,4,3,3,2,4,3,4,4,"Papa"
"486",3,2,4,1,4,5,5,3,4,"Sierra"
"487",5,5,5,5,5,4,4,4,3,"Sierra"
"488",4,2,2,2,3,5,6,4,4,"Romeo"
"489",4,3,4,4,4,5,4,3,3,"Sierra"
"490",3,4,4,4,3,5,4,3,5,"Papa"
"491",4,5,3,4,3,5,3,5,4,"Romeo"
"492",6,4,3,4,4,5,4,1,3,"Sierra"
"493",6,6,3,3,4,7,3,5,4,"Romeo"
"494",2,1,3,4,5,3,4,3,2,"Romeo"
"495",4,4,4,5,4,3,5,5,3,"Sierra"
"496",5,3,4,4,5,5,4,4,4,"Papa"
"497",5,5,5,3,4,4,4,5,4,"Sierra"
"498",5,5,4,5,4,5,4,4,2,"Romeo"
"499",3,4,5,6,4,4,2,3,4,"Romeo"
"500",4,3,5,4,4,2,5,2,3,"Sierra"
"501",3,3,3,5,2,3,3,3,4,"Papa"
