"","Adaptable","BestValue","CuttingEdge","Delightful","Exciting","Friendly","Generous","Helpful","Intuitive"
"85",4,4,3,3,3,4,2,4,4
"86",3,2,3,5,1,5,3,2,5
"87",4,5,4,4,5,4,4,5,5
"88",4,2,4,5,4,3,3,3,2
"89",5,3,7,4,6,4,5,5,7
"90",5,2,4,1,2,4,4,3,4
"91",4,5,5,5,4,4,3,5,4
"92",1,3,1,4,3,4,2,4,3
"93",4,3,4,5,2,3,3,4,3
"94",1,2,4,6,4,4,4,4,4
"95",4,5,6,6,4,5,4,3,4
"96",2,3,2,3,1,4,3,4,5
"97",4,4,3,3,4,6,4,5,4
"98",5,5,4,5,3,5,3,5,5
"99",4,4,4,5,2,3,4,2,4
"100",5,5,3,3,5,5,5,5,7
"101",3,4,3,4,4,3,2,2,4
"102",4,5,3,5,2,5,4,2,4
"103",4,3,3,6,3,2,5,4,3
"104",5,5,4,5,5,4,5,6,4
"105",4,3,3,6,5,3,4,2,3
"106",6,4,4,4,5,3,5,5,7
"107",5,3,2,3,2,5,3,3,3
"108",5,3,6,6,5,4,6,5,5
"109",3,5,4,4,3,4,4,2,3
"110",4,4,4,5,5,5,3,2,4
"111",2,5,5,6,4,4,4,3,2
"112",5,5,4,5,5,2,5,3,5
"113",3,4,3,3,1,6,5,5,5
"114",4,2,5,4,5,7,4,6,5
"115",5,4,1,4,1,5,1,2,4
"116",5,4,3,4,4,4,5,4,5
"117",4,4,5,3,3,2,3,2,1
"118",4,6,3,2,3,3,3,3,2
"119",5,7,3,6,4,5,4,4,5
"120",6,6,2,3,3,4,3,5,6
"121",2,4,4,5,4,5,2,3,3
"122",4,5,5,4,5,1,4,1,3
"123",5,4,3,3,2,4,3,3,4
"124",3,5,4,5,1,5,5,4,4
"125",5,5,5,3,3,5,4,4,4
"126",5,3,5,3,4,5,4,3,6
"127",6,3,4,4,5,5,3,5,6
"128",4,3,4,4,5,5,4,3,5
"129",1,1,3,1,3,5,3,3,4
"130",4,4,3,3,3,4,3,2,4
"131",3,3,4,3,3,5,4,2,4
"132",4,4,4,5,3,5,2,7,7
"133",4,6,2,3,3,3,4,4,5
"134",4,4,4,5,3,3,3,3,2
"135",5,4,3,3,4,5,3,5,4
"136",4,3,1,4,3,4,4,4,2
"137",4,4,3,4,4,5,4,2,5
"138",5,4,5,5,4,4,4,3,3
"139",2,2,2,1,4,4,3,4,4
"140",4,5,4,3,3,4,6,4,4
"141",6,2,5,5,6,5,4,2,5
"142",4,4,4,4,4,2,5,4,5
"143",3,3,5,5,5,3,5,2,2
"144",5,5,4,4,3,5,3,3,5
"145",4,3,5,6,5,4,6,3,4
"146",5,2,4,5,4,4,4,4,4
"147",4,2,4,5,2,4,4,2,3
"148",3,3,3,4,3,2,2,4,3
"149",6,5,5,4,3,7,4,6,7
"150",6,5,1,5,1,6,2,4,4
"151",4,4,5,5,3,6,6,3,5
"152",4,4,1,4,2,4,2,4,5
"153",5,1,5,4,6,5,4,4,4
"154",6,3,3,4,2,4,3,5,6
"155",5,2,2,4,2,4,4,2,6
"156",2,2,4,3,5,6,3,6,6
"157",4,5,5,3,4,3,6,4,4
"158",3,4,3,4,2,3,3,4,4
"159",4,4,3,3,1,6,3,5,5
"160",3,3,4,4,4,1,5,3,2
"161",5,4,1,3,3,7,3,4,5
"162",5,4,2,6,3,3,4,4,3
"163",4,3,4,2,4,2,4,2,3
"164",7,4,3,3,4,4,3,4,4
"165",4,2,5,6,7,7,5,6,6
"166",5,3,3,4,4,4,4,5,6
"167",3,4,2,3,4,4,4,4,3
"168",4,4,5,4,4,4,5,2,4
"169",5,4,4,5,4,5,5,2,3
"170",4,6,6,4,5,4,4,6,4
"171",3,2,4,5,6,2,5,3,3
"172",3,3,3,4,3,4,2,3,3
"173",2,3,4,4,2,3,3,2,4
"174",3,3,4,4,4,2,5,3,2
"175",4,3,3,3,2,4,4,4,3
"176",5,4,5,3,5,3,4,5,6
"177",3,2,6,2,4,4,4,4,6
"178",6,4,3,4,4,6,3,5,4
"179",3,4,4,5,4,5,4,4,3
"180",4,6,3,5,5,6,4,4,6
"181",6,4,2,2,3,2,2,3,4
"182",5,4,5,3,4,3,3,3,4
"183",3,2,4,3,2,3,4,5,5
"184",3,2,3,3,2,4,4,4,4
"185",5,4,5,6,3,4,6,2,3
"186",3,2,2,2,4,4,1,2,3
"187",4,4,4,3,3,3,5,5,3
"188",4,3,5,5,5,6,6,5,4
"189",6,5,4,5,3,5,3,4,4
"190",4,4,5,4,6,5,3,2,4
"191",2,5,2,5,4,3,4,2,2
"192",4,3,5,5,4,5,3,5,4
"193",3,2,4,4,4,3,2,6,5
"194",7,4,2,1,3,6,4,5,5
"195",4,5,3,4,2,4,5,4,3
"196",7,7,6,5,4,3,6,4,5
"197",3,3,5,5,4,4,3,5,4
"198",2,3,4,6,4,3,5,3,5
"199",5,5,2,2,4,4,5,3,1
"200",3,4,4,4,3,4,5,2,2
"201",4,6,4,5,5,4,5,4,3
"202",7,6,3,2,3,5,5,5,6
"203",4,5,4,4,4,2,3,5,2
"204",4,3,5,5,4,5,4,4,2
"205",4,2,5,6,3,3,3,3,4
"206",4,3,4,3,5,5,5,2,4
"207",5,5,4,6,6,4,3,4,3
"208",5,2,3,5,3,4,3,4,4
"209",5,4,3,3,4,3,4,2,2
"210",6,4,3,1,2,5,4,6,5
"211",5,3,4,6,2,7,2,6,5
"212",4,3,5,6,4,4,3,5,6
"213",4,4,3,1,3,4,4,3,4
"214",3,3,4,2,3,2,1,3,2
"215",5,5,3,6,5,5,4,4,3
"216",3,3,3,4,4,3,4,3,3
"217",6,3,3,4,5,5,5,3,6
"218",3,4,3,6,4,4,3,4,5
"219",6,4,5,4,4,5,5,5,7
"220",4,5,5,4,5,2,5,2,2
"221",4,5,5,4,4,3,5,3,3
"222",4,2,4,2,3,4,5,4,3
"223",5,4,4,6,3,3,3,5,7
"224",6,3,5,6,4,4,5,5,4
"225",4,5,5,6,3,5,2,4,3
"226",2,4,3,3,3,3,4,3,4
"227",3,4,3,4,5,5,5,3,4
"228",4,3,4,4,4,5,3,4,3
"229",3,4,3,4,6,2,4,3,4
"230",4,1,4,3,6,3,5,3,4
"231",4,3,1,4,2,4,2,5,2
"232",2,2,4,2,3,3,3,1,3
"233",5,4,4,5,2,5,4,2,3
"234",5,4,5,7,5,5,5,5,4
"235",2,1,4,3,3,3,5,1,3
"236",7,7,2,4,4,4,3,3,4
"237",3,3,4,3,4,4,3,4,5
"238",4,4,4,2,4,1,4,3,4
"239",4,4,4,4,5,4,3,3,4
"240",4,6,4,6,5,3,4,4,3
"241",5,4,5,4,4,4,3,4,3
"242",4,6,4,5,6,5,5,4,3
"243",5,4,5,4,4,5,5,4,5
"244",6,5,2,4,3,4,6,5,4
"245",5,4,4,4,4,3,4,3,3
"246",4,4,4,4,4,4,3,2,3
"247",3,3,2,6,4,6,6,4,5
"248",4,4,4,4,5,5,4,4,4
"249",5,3,6,5,5,6,5,2,1
"250",4,3,3,6,6,5,3,6,5
"251",5,3,4,3,4,4,5,6,5
"252",2,4,3,4,2,3,3,3,3
"253",4,5,4,4,6,6,4,3,4
"254",6,3,3,3,3,3,3,4,5
"255",3,4,3,3,3,6,5,5,6
"256",3,3,2,2,2,4,4,2,2
"257",4,3,5,6,4,4,4,5,3
"258",5,2,3,6,4,5,4,3,4
"259",5,3,3,5,6,3,5,3,6
"260",5,3,5,3,4,5,3,4,4
"261",5,4,2,3,4,2,3,4,3
"262",3,4,2,2,3,5,2,4,4
"263",7,3,4,5,5,6,4,5,7
"264",6,4,4,4,3,3,3,3,3
"265",4,4,4,5,4,3,4,5,3
"266",5,5,4,3,5,4,4,4,2
"267",2,4,6,6,7,4,5,3,4
"268",5,4,4,2,4,4,4,5,4
"269",3,3,3,4,5,2,4,5,2
"270",3,5,3,3,3,4,4,1,3
"271",6,4,5,4,4,4,5,2,4
"272",4,6,3,5,3,5,3,4,3
"273",5,4,2,4,2,5,4,3,6
"274",6,5,5,6,2,4,4,3,6
"275",4,5,5,5,5,4,3,3,3
"276",4,5,7,5,6,4,5,4,5
"277",4,3,6,5,5,4,6,2,3
"278",4,3,2,4,5,5,3,4,4
"279",5,7,6,6,5,3,4,2,3
"280",3,5,3,6,3,4,4,4,3
"281",3,4,5,5,4,5,5,3,4
"282",5,4,4,4,6,2,5,3,3
"283",4,4,3,2,3,2,4,3,1
"284",3,4,4,5,4,4,5,3,3
"285",5,2,6,4,5,4,4,6,5
"286",4,5,4,6,4,3,7,1,2
"287",5,2,4,2,4,4,4,4,3
"288",3,3,3,2,4,4,2,5,2
"289",5,4,4,3,3,4,3,3,4
"290",5,3,2,4,4,3,5,4,3
"291",5,4,4,3,2,4,3,3,3
"292",5,4,4,7,3,5,4,3,3
"293",3,5,4,5,5,1,5,2,3
"294",5,4,6,6,7,6,4,3,5
"295",4,4,5,4,5,4,5,2,5
"296",3,3,4,6,5,4,4,4,4
"297",5,4,4,4,4,3,6,2,4
"298",5,3,5,6,2,6,7,6,4
"299",3,3,5,5,5,4,4,3,5
"300",4,4,4,5,4,5,5,4,5
"301",5,3,4,4,3,4,3,4,3
"302",3,4,4,4,3,2,3,3,2
"303",3,4,5,6,4,6,4,5,6
"304",4,7,3,5,3,3,5,4,3
"305",4,3,4,5,6,4,3,3,4
"306",6,4,3,2,2,6,4,4,4
"307",4,2,6,2,4,4,6,4,3
"308",4,5,5,6,2,3,5,1,1
"309",4,4,3,5,3,5,5,3,4
"310",6,6,4,5,4,4,4,5,5
"311",1,3,4,5,5,1,5,2,3
"312",6,4,1,3,3,4,3,3,1
"313",3,4,4,3,5,3,5,1,1
"314",2,2,6,6,4,4,5,5,4
"315",3,4,2,4,2,5,4,4,3
"316",2,3,4,7,7,5,4,2,4
"317",4,3,5,6,5,4,6,5,4
"318",5,6,4,7,4,6,4,4,5
"319",4,4,3,3,4,4,4,3,4
"320",4,3,1,3,1,6,2,4,5
"321",4,4,4,6,3,5,4,3,4
"322",7,3,4,6,2,5,3,5,7
"323",5,3,4,7,4,6,3,4,5
"324",4,6,4,3,3,4,3,4,5
"325",5,5,6,6,5,6,5,4,4
"326",5,3,3,3,3,4,2,3,4
"327",5,2,4,4,5,4,3,5,5
"328",2,2,2,3,3,4,4,1,2
"329",4,4,5,5,6,5,5,4,5
"330",6,5,4,2,5,4,5,6,6
"331",3,4,7,7,4,5,6,4,6
"332",5,2,4,3,6,4,6,4,4
"333",6,4,3,3,2,3,4,5,4
"334",4,4,2,5,4,1,4,3,6
"335",3,3,5,4,2,3,5,2,4
"336",4,4,3,4,5,5,3,3,5
"337",6,4,3,4,3,5,2,4,5
"338",5,5,3,4,2,4,4,3,3
"339",5,5,4,5,6,3,4,4,3
"340",5,4,3,5,4,3,5,4,3
"341",7,6,2,4,3,5,1,5,6
"342",6,6,4,3,6,3,4,5,5
"343",6,4,4,5,5,3,3,3,3
"344",5,5,4,6,4,4,4,5,3
"345",4,4,3,5,3,3,4,4,5
"346",4,5,4,5,4,4,4,4,5
"347",4,3,3,6,2,3,5,3,4
"348",3,2,4,4,5,3,4,4,5
"349",5,3,4,6,4,4,3,5,6
"350",3,1,2,6,5,4,5,3,3
"351",5,3,6,6,5,5,2,4,4
"352",4,4,3,7,5,5,4,4,6
"353",3,3,5,5,5,4,6,2,3
"354",3,4,4,4,3,3,3,3,4
"355",4,4,4,4,1,5,2,4,5
"356",5,3,2,4,2,4,3,5,6
"357",6,4,5,6,4,3,5,5,3
"358",3,3,4,6,5,4,6,2,3
"359",4,4,4,6,4,4,4,5,6
"360",5,4,3,6,5,5,4,3,5
"361",4,4,4,5,5,5,3,4,4
"362",4,4,5,3,4,2,3,2,3
"363",2,3,6,3,4,3,5,4,4
"364",3,2,2,3,4,3,5,6,5
"365",3,2,5,5,7,4,7,2,4
"366",5,2,2,2,2,5,3,2,5
"367",4,4,2,3,3,4,2,3,4
"368",4,6,6,4,4,5,4,2,3
"369",4,4,6,5,5,4,5,5,3
"370",2,2,2,4,3,3,6,1,3
"371",2,4,4,3,4,4,5,4,5
"372",3,3,4,5,4,4,4,4,4
"373",2,4,2,4,3,5,2,5,3
"374",6,3,4,4,3,4,2,3,3
"375",4,4,4,6,4,4,4,3,4
"376",3,2,3,6,6,4,3,5,2
"377",4,5,3,5,5,4,3,4,4
"378",5,4,3,5,3,5,4,3,4
"379",4,4,5,5,5,3,4,4,4
"380",4,4,3,5,3,5,2,6,4
"381",4,3,3,5,4,4,1,3,4
"382",5,2,5,5,4,4,6,6,6
"383",4,6,3,4,5,6,4,4,5
"384",4,4,5,7,6,6,4,4,6
"385",5,3,5,5,5,6,5,4,4
"386",4,2,5,6,4,5,4,3,5
"387",5,4,5,4,4,5,3,5,5
"388",5,4,5,7,1,5,5,3,3
"389",6,4,4,7,6,6,5,5,6
"390",3,3,5,5,4,6,5,4,4
"391",4,4,4,6,6,4,5,2,3
"392",4,4,7,4,4,3,7,3,6
"393",5,4,4,3,4,4,3,3,4
"394",3,4,3,5,4,2,5,3,2
"395",3,3,4,4,4,4,4,4,6
"396",4,4,3,5,3,4,3,3,3
"397",4,5,2,1,3,4,2,4,4
"398",5,5,3,4,4,5,4,4,5
"399",4,5,3,1,3,4,4,5,2
"400",1,2,3,6,4,3,3,2,3
